idx,weight,cals
355,73.6,2623
356,73.8,2760
357,73.8,2700
358,73.7,2925
359,74.2,2745
360,74.5,
361,75.6,2676
362,74.9,2559
363,74.4,2673
364,74.1,
365,,
366,,
367,74.1,2702
368,74.4,2638
369,74.3,2798
370,74.3,2714
371,74.4,2814
372,,2748
373,75,2873
374,75.2,2624
375,74.5,2730
376,74.3,2745
377,75.3,2742
378,75.7,2648
379,74.9,2944
380,75.1,2429
381,74.6,2669
382,74.6,2680
383,74.5,2779
384,75.2,2737
385,74.4,2815
386,75.2,2733
387,75.3,2754
388,75.5,2735
389,75.6,
390,75.3,2714
391,76,2682
392,76.6,2610
393,76.2,2550
394,76,2677
395,75.7,2636
396,75.2,2715
397,75.6,2764
398,75.8,2726
399,76.1,2740
400,75.5,2755
401,76.3,2688
402,76,2709
403,75.6,2729
404,76,2716
405,75.8,2730
406,76.1,2700
407,75.7,2730
408,76.6,2710
409,76.2,
410,75.7,2761
411,75.7,2780
412,76.8,2789
413,76.8,2700
414,76.3,2690
415,76.1,2600
416,76.1,2750
417,75.9,
418,,2713
419,76.3,
420,76.2,2726
421,76.5,2715
422,76.5,2715
423,77.1,2710
424,75.9,
425,76.2,2801
426,76.7,2746
427,,
428,,
429,,
430,77.3,2689
431,76.9,2672
432,77.1,2719
433,77.2,2649
434,77.6,2497
435,77.2,2781
436,77.1,2710
437,,
438,76.4,
439,,
440,76.9,2663
441,76.7,2825
442,76.7,2800
443,76.7,
444,,2891
445,76.5,2745
446,,1600
447,75.8,2471
448,,2471
449,75.9,2561
450,76.3,2517
451,76.8,2496
452,76.1,2518
453,,2621
454,,
455,76.5,2382
456,75.9,
457,76.7,2466
458,76.5,2462
459,76.5,2584
460,76.6,
461,77.2,2393
462,77.3,2384
463,76.2,2395
464,76.5,2396
465,76.7,2381
466,76.5,2411
467,76,2552
468,76.6,
469,76.5,2503
470,77,2471
471,76.9,2505
472,76.6,2485
473,76.9,
474,77.1,2381
475,77.1,2457
476,77.4,2294
477,76.9,2331
478,76.5,
479,76.4,
480,77.5,2360
481,77.1,2346
482,77.8,2292
483,77.6,2330
484,77.6,2324
485,77.2,2342
486,77.3,2322
487,76.7,2334
488,76.9,2503
489,77.1,2475
490,77.1,2363
491,,1986
492,76.6,1998
493,76.5,1991
494,76.4,2092
495,75.8,2070
496,76.1,2049
497,76.6,1980
498,76.1,1987
499,76.7,1967
500,76.6,1960
501,76.6,1954
502,76.1,1910
503,75.5,2008
504,75.8,
505,,1940
506,76.2,1905
507,76.3,2275
508,75.7,1580
509,75.6,1924
510,75.2,1962
511,75.4,1990
512,75.2,1960
513,75.6,1966
514,74.9,2025
515,75.8,1935
516,74.6,1985
517,75.5,1895
518,75.2,
519,75.5,1834
520,75.3,
521,74.9,1888
522,74.8,1874
523,74.5,1917
524,74.8,1950
525,74.2,1984
526,75,1954
527,74.9,1928
528,74.2,
529,74.7,1935
530,74.4,
531,74.4,1910
532,74.5,1883
533,74.1,1880
534,74.4,1891
535,74.3,1898
536,74.9,1880
537,74.3,1880
538,74.6,1837
539,74.3,1814
540,74.4,1841
541,74.3,
542,74.4,
543,74,
544,74.1,1812
545,73.4,1968
546,73.6,
547,74.1,1919
548,73.6,
549,74.5,2315
550,74.3,1938
551,73.8,1821
552,73.4,1851
553,73.9,
554,73.8,
555,73.6,1832
556,73.6,1844
557,73.3,1826
558,73.3,1903
559,73.6,1871
560,73.2,1881
561,72.7,1914
562,73.4,
563,74.1,
564,73.4,2036
565,73.4,1809
566,73.5,1740
567,72.9,
568,73.3,
569,73.4,1783
570,73.2,1830
571,72.3,
572,71.9,1890
573,72.8,1932
574,72.8,1905
575,72.5,1954
576,72.7,
577,73.2,
578,,
579,72.3,1907
580,72.7,1840
581,72.4,1867
582,72,
583,72.6,
584,,
585,71.8,
586,72,
587,71.8,
588,72.2,1918
589,,
590,,2333
591,72.5,
592,71.8,
593,72.3,
594,72.6,2604
595,72.4,2602
596,72.2,2629
597,72.3,
598,72.2,2598
599,,
600,,
601,,2590
602,73.4,
603,73.5,3003
604,73.4,2266
605,73.2,
606,72.8,
607,73.2,2478
608,73.5,2530
609,72.9,2589
610,73.1,2582
611,73.1,
612,73.3,
942,77.6,1950
943,77,1900
944,77.2,
945,,2285
947,77.2,
949,77.3,
951,77.6,1750
952,77,2017
953,76.8,1816
954,77,
955,,1997
956,76.3,2124
957,76.9,1848
958,77,2437
959,76.5,1853
960,76.5,2017
961,75.8,1999
962,75.9,1992
963,76.6,1968
964,76.4,1954
965,76.5,1942
966,75.8,1908
967,76.4,1979
