"","eq.ind","card1","card2","cb1","fc2","payoff_1","payoff_2","util_1","util_2","is.eqo","cond.ind"
"1",1,7.5,1,"bet(0.29),check(0.71)","fold(1)",1,-1,1,-1,TRUE,1
"2",1,7.41666666666667,2,"bet(0.33),check(0.67)","fold(1)",1,-1,1,-1,TRUE,2
"3",1,7.33333333333333,3,"bet(0.37),check(0.63)","call(0.31),fold(0.69)",0.916666604166667,-0.916666604166667,0.916666604166667,-0.916666604166667,TRUE,3
"4",1,7.25,4,"bet(0.37),check(0.63)","call(0.31),fold(0.69)",0.7499999375,-0.7499999375,0.7499999375,-0.7499999375,TRUE,4
"5",1,7.16666666666667,5,"bet(0.37),check(0.63)","call(0.31),fold(0.69)",0.583333270833333,-0.583333270833333,0.583333270833333,-0.583333270833333,TRUE,5
"6",1,7.08333333333333,6,"bet(0.37),check(0.63)","call(0.31),fold(0.69)",0.416666604166667,-0.416666604166667,0.416666604166667,-0.416666604166667,TRUE,6
"7",1,7,7,"bet(0.37),check(0.63)","call(0.31),fold(0.69)",0.2499999375,-0.2499999375,0.2499999375,-0.2499999375,TRUE,7
"8",1,6.91666666666667,8,"bet(0.37),check(0.63)","call(0.31),fold(0.69)",0.0833332708333334,-0.0833332708333334,0.0833332708333334,-0.0833332708333334,TRUE,8
"9",1,6.83333333333333,9,"bet(0.37),check(0.63)","call(0.31),fold(0.69)",-0.0833333958333333,0.0833333958333333,-0.0833333958333333,0.0833333958333333,TRUE,9
"10",1,6.75,10,"bet(0.37),check(0.63)","call(0.31),fold(0.69)",-0.2500000625,0.2500000625,-0.2500000625,0.2500000625,TRUE,10
"11",1,6.66666666666667,11,"bet(0.29),check(0.71)","call(1)",-0.583333166666667,0.583333166666667,-0.583333166666667,0.583333166666667,TRUE,11
"12",1,6.58333333333333,12,"bet(0.29),check(0.71)","call(1)",-1.08333316666667,1.08333316666667,-1.08333316666667,1.08333316666667,TRUE,12
"13",1,6.5,13,"bet(0.29),check(0.71)","call(1)",-1.58333316666667,1.58333316666667,-1.58333316666667,1.58333316666667,TRUE,13
