Date,Confirmed,Recovered,Dead
2020-01-22,0,0,0
2020-01-23,0,0,0
2020-01-24,0,0,0
2020-01-25,0,0,0
2020-01-26,4,0,0
2020-01-27,5,0,0
2020-01-28,5,0,0
2020-01-29,6,0,0
2020-01-30,9,2,0
2020-01-31,9,2,0
2020-02-01,12,2,0
2020-02-02,12,2,0
2020-02-03,12,2,0
2020-02-04,13,2,0
2020-02-05,13,2,0
2020-02-06,14,2,0
2020-02-07,15,2,0
2020-02-08,15,2,0
2020-02-09,15,2,0
2020-02-10,15,2,0
2020-02-11,15,2,0
2020-02-12,15,2,0
2020-02-13,15,8,0
2020-02-14,15,8,0
2020-02-15,15,8,0
2020-02-16,15,8,0
2020-02-17,15,10,0
2020-02-18,15,10,0
2020-02-19,15,10,0
2020-02-20,15,10,0
2020-02-21,15,11,0
2020-02-22,15,11,0
2020-02-23,15,11,0
2020-02-24,15,11,0
2020-02-25,15,11,0
2020-02-26,15,11,0
2020-02-27,15,11,0
2020-02-28,15,11,0
2020-02-29,25,11,0
2020-03-01,27,11,1
2020-03-02,30,11,1
2020-03-03,39,11,1
2020-03-04,52,11,2
2020-03-05,55,21,2
2020-03-06,60,21,2
2020-03-07,63,21,2
2020-03-08,76,21,3
2020-03-09,91,21,3
2020-03-10,107,21,3
2020-03-11,128,21,3
2020-03-12,128,21,3
2020-03-13,200,23,3
2020-03-14,250,23,3
2020-03-15,297,23,3
2020-03-16,377,23,3
2020-03-17,452,23,5
2020-03-18,568,23,6
2020-03-19,681,26,6
2020-03-20,791,26,7
2020-03-21,1071,26,7
2020-03-22,1549,88,7
2020-03-23,1682,88,7
2020-03-24,2044,115,8
2020-03-25,2364,119,8
2020-03-26,2810,172,13
2020-03-27,3143,194,13
2020-03-28,3640,244,14
2020-03-29,3984,244,16
2020-03-30,4361,257,17
2020-03-31,4559,358,18
2020-04-01,4862,422,20
2020-04-02,5116,520,24
2020-04-03,5330,649,28
2020-04-04,5550,701,30
2020-04-05,5687,757,35
2020-04-06,5797,1080,40
2020-04-07,5895,1080,45
2020-04-08,6010,1080,50
2020-04-09,6108,1472,51
2020-04-10,6215,1793,54
2020-04-11,6303,1806,57
2020-04-12,6315,1806,60
2020-04-13,6351,1806,61
2020-04-14,6415,2186,62
2020-04-15,6440,2186,63
2020-04-16,6462,2355,63
2020-04-17,6522,3808,66
2020-04-18,6568,4124,67
2020-04-19,6610,4124,67
2020-04-20,6623,4291,67
2020-04-21,6645,4695,67
2020-04-22,6652,4932,67
2020-04-23,6662,5047,75
2020-04-24,6677,5136,79
2020-04-25,6694,5376,80
2020-04-26,6714,5541,83
2020-04-27,6721,5588,83
2020-04-28,6744,5665,89
2020-04-29,6752,5715,91
2020-04-30,6766,5742,93
2020-05-01,6778,5775,93
2020-05-02,6799,5814,94
2020-05-03,6822,5849,95
2020-05-04,6847,5887,96
2020-05-05,6875,5975,97
2020-05-06,6894,6031,97
2020-05-07,6913,6078,97
2020-05-08,6918,6122,97
2020-05-09,6939,6141,97
2020-05-10,6948,6167,97
2020-05-11,6970,6213,97
2020-05-12,6980,6270,98
2020-05-13,6989,6297,98
2020-05-14,7019,6334,98
2020-05-15,7035,6359,98
2020-05-16,7044,6364,98
2020-05-17,7054,6392,99
2020-05-18,7068,6413,99
2020-05-19,7072,6431,100
2020-05-20,7081,6470,100
2020-05-21,7095,6478,101
2020-05-22,7099,6485,101
