turn,guess,entropy,aspce_old,aspce_new,p,answer
2, cloot, 2.14755, 44, 4, 0, aloft
3, aloft, 1.04167, 4, 1, 0.25, aloft
2, bundt, 1.4422, 8, 1, 0, alone
3, alone, 1.4422, 1, 1, 0, alone
2, cloot, 2.14755, 44, 2, 0, along
3, along, 0.59665, 2, 1, 0.5, along
2, cloot, 2.14755, 44, 1, 0, aloof
3, aloof, 2.14755, 1, 1, 0, aloof
2, cloot, 2.14755, 44, 2, 0, aloud
3, along, 0.59665, 2, 1, 0.5, aloud
4, aloud, 0.59665, 1, 1, 0.5, aloud
2, clint, 2.65227, 138, 3, 0, alpha
3, album, 0.936092, 3, 2, 0.333333, alpha
4, allay, 0.46145, 2, 1, 0.5, alpha
5, alpha, 0.46145, 1, 1, 0.5, alpha
2, riyal, 2.15427, 42, 2, 0, altar
3, altar, 0.59665, 2, 1, 0.5, altar
2, talar, 2.45898, 61, 1, 0, alter
3, alter, 2.45898, 1, 1, 0, alter
2, chals, 1.69829, 14, 1, 0, amass
3, amass, 1.69829, 1, 1, 0, amass
2, glitz, 2.11346, 28, 1, 0, amaze
3, amaze, 2.11346, 1, 1, 0, amaze
2, talar, 2.45898, 61, 3, 0, amber
3, aider, 0.936092, 3, 2, 0.333333, amber
4, amber, 0.46145, 2, 1, 0.5, amber
2, gault, 2.16478, 40, 4, 0, amble
3, ample, 0.951825, 4, 1, 0.25, amble
4, amble, 0.951825, 1, 1, 0.25, amble
2, pleat, 2.36651, 68, 3, 0.0147059, amend
3, amend, 0.816292, 3, 1, 0.333333, amend
2, linty, 1.8674, 23, 3, 0, amiss
3, amiss, 0.816292, 3, 1, 0.333333, amiss
2, clint, 2.65227, 138, 2, 0, amity
3, amity, 0.59665, 2, 1, 0.5, amity
2, cloot, 2.14755, 44, 3, 0, among
3, agony, 0.816292, 3, 1, 0.333333, among
4, among, 0.816292, 1, 1, 0.333333, among
2, gault, 2.16478, 40, 4, 0, ample
3, ample, 0.951825, 4, 1, 0.25, ample
2, clint, 2.65227, 138, 12, 0, amply
3, dampy, 1.42973, 12, 1, 0, amply
4, amply, 1.42973, 1, 1, 0, amply
2, thump, 1.77035, 15, 1, 0, amuse
3, amuse, 1.77035, 1, 1, 0, amuse
2, pleat, 2.36651, 68, 10, 0.0147059, angel
3, angel, 1.40184, 10, 1, 0.1, angel
2, talar, 2.45898, 61, 3, 0, anger
3, aider, 0.936092, 3, 2, 0.333333, anger
4, amber, 0.46145, 2, 1, 0.5, anger
5, anger, 0.46145, 1, 1, 0.5, anger
2, gault, 2.16478, 40, 2, 0, angle
3, agile, 0.59665, 2, 1, 0.5, angle
4, angle, 0.59665, 1, 1, 0.5, angle
2, humic, 1.60393, 11, 2, 0, angry
3, angry, 0.59665, 2, 1, 0.5, angry
2, linty, 1.8674, 23, 1, 0, angst
3, angst, 1.8674, 1, 1, 0, angst
2, gault, 2.16478, 40, 2, 0, anime
3, abide, 0.59665, 2, 1, 0.5, anime
4, anime, 0.59665, 1, 1, 0.5, anime
2, gault, 2.16478, 40, 4, 0, ankle
3, ample, 0.951825, 4, 1, 0.25, ankle
4, ankle, 0.951825, 1, 1, 0.25, ankle
2, pleat, 2.36651, 68, 7, 0.0147059, annex
3, annex, 1.23485, 7, 1, 0.142857, annex
2, cloot, 2.14755, 44, 5, 0, annoy
3, annoy, 1.04844, 5, 1, 0.2, annoy
2, clint, 2.65227, 138, 5, 0, annul
3, lanky, 1.04844, 5, 1, 0.2, annul
4, annul, 1.04844, 1, 1, 0.2, annul
2, bundt, 1.4422, 8, 1, 0, anode
3, anode, 1.4422, 1, 1, 0, anode
2, clint, 2.65227, 138, 1, 0, antic
3, antic, 2.65227, 1, 1, 0, antic
2, clint, 2.65227, 138, 3, 0, anvil
3, anvil, 0.816292, 3, 1, 0.333333, anvil
2, moral, 1.41444, 8, 1, 0.125, aorta
3, aorta, 1.41444, 1, 1, 0.125, aorta
2, dhuti, 1.6168, 13, 1, 0, apart
3, apart, 1.6168, 1, 1, 0, apart
2, clint, 2.65227, 138, 6, 0, aphid
3, affix, 1.12301, 6, 1, 0.166667, aphid
4, aphid, 1.12301, 1, 1, 0.166667, aphid
2, clint, 2.65227, 138, 2, 0, aping
3, aging, 0.59665, 2, 1, 0.5, aping
4, aping, 0.59665, 1, 1, 0.5, aping
2, pleat, 2.36651, 68, 1, 0.0147059, apnea
3, apnea, 2.36651, 1, 1, 0.0147059, apnea
2, gault, 2.16478, 40, 4, 0, apple
3, ample, 0.951825, 4, 1, 0.25, apple
4, apple, 0.951825, 1, 1, 0.25, apple
2, clint, 2.65227, 138, 12, 0, apply
3, dampy, 1.42973, 12, 1, 0, apply
4, apply, 1.42973, 1, 1, 0, apply
2, baron, 1.99027, 27, 1, 0.037037, apron
3, apron, 1.99027, 1, 1, 0.037037, apron
2, clint, 2.65227, 138, 5, 0, aptly
3, tally, 1.04844, 5, 1, 0.2, aptly
4, aptly, 1.04844, 1, 1, 0.2, aptly
2, baron, 1.99027, 27, 2, 0.037037, arbor
3, abhor, 0.59665, 2, 1, 0.5, arbor
4, arbor, 0.59665, 1, 1, 0.5, arbor
2, baron, 1.99027, 27, 3, 0.037037, ardor
3, ardor, 0.816292, 3, 1, 0.333333, ardor
2, talar, 2.45898, 61, 1, 0, arena
3, arena, 2.45898, 1, 1, 0, arena
2, barge, 1.37005, 7, 1, 0.142857, argue
3, argue, 1.37005, 1, 1, 0.142857, argue
2, arise, 0.951492, 3, 1, 0.333333, arise
2, baron, 1.99027, 27, 3, 0.037037, armor
3, ardor, 0.816292, 3, 1, 0.333333, armor
4, armor, 0.816292, 1, 1, 0.333333, armor
